Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
1958.0,12 Jun 1958 - 19:00 ,Group 3,Sweden,2.0,1.0,Hungary
1958.0,15 Jun 1958 - 14:00 ,Group 3,Sweden,0.0,0.0,Wales
1958.0,15 Jun 1958 - 19:00 ,Group 4,Brazil,2.0,0.0,Soviet Union
1958.0,15 Jun 1958 - 19:00 ,Group 1,Germany FR,2.0,2.0,Northern Ireland
1958.0,15 Jun 1958 - 19:00 ,Group 3,Hungary,4.0,0.0,Mexico
1958.0,15 Jun 1958 - 19:00 ,Group 2,Paraguay,3.0,3.0,Yugoslavia
1958.0,15 Jun 1958 - 19:00 ,Group 2,France,2.0,1.0,Scotland
1958.0,15 Jun 1958 - 19:00 ,Group 4,England,2.0,2.0,Austria
1958.0,15 Jun 1958 - 19:00 ,Group 1,Czechoslovakia,6.0,1.0,Argentina
1958.0,17 Jun 1958 - 19:00 ,Group 4,Soviet Union,1.0,0.0,England
1958.0,17 Jun 1958 - 19:00 ,Group 1,Northern Ireland,2.0,1.0,Czechoslovakia
1958.0,17 Jun 1958 - 19:00 ,Group 3,Wales,2.0,1.0,Hungary
1958.0,19 Jun 1958 - 19:00 ,Quarter-finals,Brazil,1.0,0.0,Wales
1958.0,19 Jun 1958 - 19:00 ,Quarter-finals,Germany FR,1.0,0.0,Yugoslavia
1958.0,19 Jun 1958 - 19:00 ,Quarter-finals,Sweden,2.0,0.0,Soviet Union
1958.0,19 Jun 1958 - 19:00 ,Quarter-finals,France,4.0,0.0,Northern Ireland
1958.0,24 Jun 1958 - 19:00 ,Semi-finals,Sweden,3.0,1.0,Germany FR
1958.0,24 Jun 1958 - 19:00 ,Semi-finals,Brazil,5.0,2.0,France
1958.0,28 Jun 1958 - 17:00 ,Match for third place,France,6.0,3.0,Germany FR
1958.0,29 Jun 1958 - 15:00 ,Final,Brazil,5.0,2.0,Sweden
1962.0,30 May 1962 - 15:00 ,Group 1,Uruguay,2.0,1.0,Colombia
1962.0,30 May 1962 - 15:00 ,Group 3,Brazil,2.0,0.0,Mexico
1962.0,30 May 1962 - 15:00 ,Group 4,Argentina,1.0,0.0,Bulgaria
1962.0,30 May 1962 - 15:00 ,Group 2,Chile,3.0,1.0,Switzerland
1962.0,31 May 1962 - 15:00 ,Group 1,Soviet Union,2.0,0.0,Yugoslavia
