Country Name,Country Code,Series Name,2023 [YR2023]
Bangladesh,BGD,Imports of goods and services (% of GDP),17.82580758
Bangladesh,BGD,"Inflation, GDP deflator (annual %)",6.89712404
Bangladesh,BGD,Tax revenue (% of GDP),..
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",..
Bangladesh,BGD,"Life expectancy at birth, total (years)",..
Bangladesh,BGD,"Interest rate spread (lending rate minus deposit rate, %)",1.051666667
Bangladesh,BGD,Taxes on exports (% of tax revenue),..
Bangladesh,BGD,"Taxes on income, profits and capital gains (% of revenue)",..
Bangladesh,BGD,"Revenue, excluding grants (% of GDP)",..
Bangladesh,BGD,Social contributions (% of revenue),..
Bangladesh,BGD,Interest payments (% of revenue),..
Barbados,BRB,Exports of goods and services (current US$),..
Barbados,BRB,Exports of goods and services (% of GDP),..
Barbados,BRB,GDP (current US$),6393564190
Barbados,BRB,GDP per capita (current US$),22672.61544
Barbados,BRB,Gross domestic savings (% of GDP),..
Barbados,BRB,Gross savings (% of GDP),..
Barbados,BRB,Imports of goods and services (% of GDP),..
Barbados,BRB,"Inflation, GDP deflator (annual %)",4.735828043
Barbados,BRB,Tax revenue (% of GDP),..
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",..
Barbados,BRB,"Life expectancy at birth, total (years)",..
Barbados,BRB,"Interest rate spread (lending rate minus deposit rate, %)",..
Barbados,BRB,Taxes on exports (% of tax revenue),..
Barbados,BRB,"Taxes on income, profits and capital gains (% of revenue)",..
Barbados,BRB,"Revenue, excluding grants (% of GDP)",..
Barbados,BRB,Social contributions (% of revenue),..
Barbados,BRB,Interest payments (% of revenue),..
Belarus,BLR,Exports of goods and services (current US$),48014398058
Belarus,BLR,Exports of goods and services (% of GDP),66.81901876
Belarus,BLR,GDP (current US$),71857382746
Belarus,BLR,GDP per capita (current US$),7829.053137
Belarus,BLR,Gross domestic savings (% of GDP),27.20042499
Belarus,BLR,Gross savings (% of GDP),25.12331494
Belarus,BLR,Imports of goods and services (% of GDP),66.17977856
Belarus,BLR,"Inflation, GDP deflator (annual %)",7.368230536
Belarus,BLR,Tax revenue (% of GDP),..
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",3.461
Belarus,BLR,"Life expectancy at birth, total (years)",..
Belarus,BLR,"Interest rate spread (lending rate minus deposit rate, %)",5.110018951
Belarus,BLR,Taxes on exports (% of tax revenue),..
Belarus,BLR,"Taxes on income, profits and capital gains (% of revenue)",..
Belarus,BLR,"Revenue, excluding grants (% of GDP)",..
Belarus,BLR,Social contributions (% of revenue),..
Belarus,BLR,Interest payments (% of revenue),..
Belgium,BEL,Exports of goods and services (current US$),5.48013E+11
Belgium,BEL,Exports of goods and services (% of GDP),86.68123029
Belgium,BEL,GDP (current US$),6.32217E+11
Belgium,BEL,GDP per capita (current US$),53475.2935
Belgium,BEL,Gross domestic savings (% of GDP),24.39571889
Belgium,BEL,Gross savings (% of GDP),25.20699658
Belgium,BEL,Imports of goods and services (% of GDP),87.61379575
Belgium,BEL,"Inflation, GDP deflator (annual %)",4.079874107
Belgium,BEL,Tax revenue (% of GDP),..
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",5.528
Belgium,BEL,"Life expectancy at birth, total (years)",..
Belgium,BEL,"Interest rate spread (lending rate minus deposit rate, %)",..
Belgium,BEL,Taxes on exports (% of tax revenue),..
Belgium,BEL,"Taxes on income, profits and capital gains (% of revenue)",..
Belgium,BEL,"Revenue, excluding grants (% of GDP)",..
Belgium,BEL,Social contributions (% of revenue),..
Belgium,BEL,Interest payments (% of revenue),..
Belize,BLZ,Exports of goods and services (current US$),1759500000
Belize,BLZ,Exports of goods and services (% of GDP),53.6187719
Belize,BLZ,GDP (current US$),3281500000
Belize,BLZ,GDP per capita (current US$),7987.585955
Belize,BLZ,Gross domestic savings (% of GDP),27.06079537
Belize,BLZ,Gross savings (% of GDP),27.61142959
Belize,BLZ,Imports of goods and services (% of GDP),52.85692519
Belize,BLZ,"Inflation, GDP deflator (annual %)",10.89674793
Belize,BLZ,Tax revenue (% of GDP),..
Belize,BLZ,"Unemployment, total (% of total labor force) (national estimate)",..
Belize,BLZ,"Life expectancy at birth, total (years)",..
Belize,BLZ,"Interest rate spread (lending rate minus deposit rate, %)",6.355
Belize,BLZ,Taxes on exports (% of tax revenue),..
Belize,BLZ,"Taxes on income, profits and capital gains (% of revenue)",..
Belize,BLZ,"Revenue, excluding grants (% of GDP)",..
Belize,BLZ,Social contributions (% of revenue),..
Belize,BLZ,Interest payments (% of revenue),..
Benin,BEN,Exports of goods and services (current US$),4169448538
Benin,BEN,Exports of goods and services (% of GDP),21.19345399
Benin,BEN,GDP (current US$),19673284686
Benin,BEN,GDP per capita (current US$),1434.662834
Benin,BEN,Gross domestic savings (% of GDP),31.50750787
Benin,BEN,Gross savings (% of GDP),..
Benin,BEN,Imports of goods and services (% of GDP),30.15701102
Benin,BEN,"Inflation, GDP deflator (annual %)",3.385464352
Benin,BEN,Tax revenue (% of GDP),..
Benin,BEN,"Unemployment, total (% of total labor force) (national estimate)",..
Benin,BEN,"Life expectancy at birth, total (years)",..
