"nume_tara","cod_tara","exporturi","exporturi (%pib)","pib","pib/nr_loc","economie_interna (%pib)","consum_intern (%pib)","investitii_publice (%pib)","inflatie_consum","investitii_straini (%pib)","urbanizare"
"Micronesia, Fed. Sts.","FSM",125788700,27.34536957,4.6e+08,3992.223842,21.18721359,14.311117794,67.53682609,6.14424034,2.16,6.094019059
"Moldova","MDA",5877849985,35.53839315,16539436547,6650.647957,0.324250881200001,8.943714748,59.59318174,8.708390488,1.555,5.365538118
"Monaco","MCO",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,20.163833424,42.1708146,5.001720395,3.3665,5.60276985633333
"Mongolia","MNG",15503198484,85.160753714,19872180370,5764.802813,39.969835204,31.3839521,69.22728566,26.77868896,5.178,5.84000159466667
"Montenegro","MNE",3753023110,50.68541887,7404541965,12016.90742,0.324250881200001,15.70534417,69.30186325,9.057533004,4.972875,6.077233333
"Morocco","MAR",62021736947,43.95295333,1.41109e+11,3672.112305,19.68827777,27.53611362,52.25610506,4.183203449,4.76775,10.2190726765
"Mozambique","MOZ",26970668446.5,39.146212095,20624597847,608.4427076,21.18721359,22.0779045533333,42.1708146,6.771403991,4.562625,15.665681064
"Myanmar","MMR",26970668446.5,39.146212095,64815031669,1187.567064,21.18721359,16.6196954866667,42.1708146,7.517207256,4.3575,9.9472199675
"Namibia","NAM",5361856646,43.4122408,12351024844,4742.783827,0.324250881200001,11.16148642,66.19823153,6.41362441,4.152375,5.533527915
"Nauru","NRU",26970668446.5,39.146212095,154127798.2,12060.07811,21.18721359,23.772368375,42.1708146,7.263491226,3.94725,5.83810197433333
"Nepal","NPL",2845174700,12.948574106,40908073367,1324.031984,0.324250881200001,36.38325033,34.68245023,5.416145185,3.742125,6.14267603366667
"Netherlands","NLD",682133600000,85.160753714,1.835396e+12,57712.1210299999,39.969835204,30.10595768,86.567204206,7.755342816,3.537,6.447250093
